80100
 -88.00  +32.00 4  2.6206  5.5140  3.2663  3.2553
 -88.00  +34.00 0  3.0444  7.2564  4.1628  4.1610
 -88.00  +34.00 1  2.9429  6.9120  3.9916  3.9809
 -88.00  +34.00 2  2.6677  5.7624  3.4063  3.3786
 -88.00  +34.00 3  2.6103  5.4566  3.2366  3.2198
 -88.00  +34.00 4  2.6206  5.5143  3.2665  3.2554
 -88.00  +36.00 0  3.0431  7.2523  4.1607  4.1588
 -88.00  +36.00 1  2.9422  6.9095  3.9904  3.9795
 -88.00  +36.00 2  2.6681  5.7645  3.4076  3.3795
 -88.00  +36.00 3  2.6105  5.4578  3.2374  3.2203
 -88.00  +36.00 4  2.6207  5.5146  3.2667  3.2555
 -88.00  +38.00 0  3.0420  7.2486  4.1589  4.1568
 -88.00  +38.00 1  2.9416  6.9074  3.9894  3.9782
 -88.00  +38.00 2  2.6685  5.7666  3.4088  3.3803
 -88.00  +38.00 3  2.6107  5.4590  3.2381  3.2209
 -88.00  +38.00 4  2.6208  5.5149  3.2669  3.2556
 -88.00  +40.00 0  3.0410  7.2454  4.1573  4.1551
 -88.00  +40.00 1  2.9411  6.9056  3.9886  3.9772
 -88.00  +40.00 2  2.6689  5.7687  3.4101  3.3812
 -88.00  +40.00 3  2.6109  5.4601  3.2387  3.2214
 -88.00  +40.00 4  2.6208  5.5152  3.2671  3.2557
 -88.00  +42.00 0  3.0401  7.2426  4.1560  4.1537
 -88.00  +42.00 1  2.9408  6.9042  3.9880  3.9764
 -88.00  +42.00 2  2.6694  5.7708  3.4113  3.3821
 -88.00  +42.00 3  2.6111  5.4612  3.2394  3.2219
 -88.00  +42.00 4  2.6209  5.5155  3.2673  3.2558
 -88.00  +44.00 0  3.0395  7.2404  4.1549  4.1524
 -88.00  +44.00 1  2.9405  6.9032  3.9875  3.9758
 -88.00  +44.00 2  2.6698  5.7730  3.4125  3.3831
 -88.00  +44.00 3  2.6113  5.4623  3.2401  3.2224
 -88.00  +44.00 4  2.6209  5.5159  3.2675  3.2559
 -88.00  +46.00 0  3.0389  7.2385  4.1539  4.1514
 -88.00  +46.00 1  2.9403  6.9025  3.9872  3.9753
 -88.00  +46.00 2  2.6702  5.7751  3.4138  3.3841
 -88.00  +46.00 3  2.6115  5.4634  3.2407  3.2229
 -88.00  +46.00 4  2.6210  5.5162  3.2677  3.2560
 -88.00  +48.00 0  3.0384  7.2370  4.1532  4.1506
 -88.00  +48.00 1  2.9402  6.9021  3.9871  3.9750
 -88.00  +48.00 2  2.6706  5.7773  3.4150  3.3851
 -88.00  +48.00 3  2.6117  5.4645  3.2413  3.2234
 -88.00  +48.00 4  2.6210  5.5165  3.2679  3.2562
 -88.00  +50.00 0  3.0381  7.2359  4.1527  4.1500
 -88.00  +50.00 1  2.9401  6.9020  3.9871  3.9748
 -88.00  +50.00 2  2.6711  5.7795  3.4163  3.3861
 -88.00  +50.00 3  2.6119  5.4655  3.2419  3.2239
 -88.00  +50.00 4  2.6211  5.5169  3.2681  3.2563
 -88.00  +52.00 0  3.0379  7.2351  4.1523  4.1495
 -88.00  +52.00 1  2.9402  6.9021  3.9872  3.9748
 -88.00  +52.00 2  2.6715  5.7818  3.4175  3.3872
 -88.00  +52.00 3  2.6120  5.4665  3.2425  3.2244
 -88.00  +52.00 4  2.6212  5.5172  3.2684  3.2565
 -88.00  +54.00 0  3.0377  7.2347  4.1521  4.1493
 -88.00  +54.00 1  2.9403  6.9025  3.9874  3.9750
 -88.00  +54.00 2  2.6720  5.7840  3.4188  3.3883
 -88.00  +54.00 3  2.6122  5.4676  3.2431  3.2249
 -88.00  +54.00 4  2.6212  5.5176  3.2686  3.2567
 -88.00  +56.00 0  3.0376  7.2344  4.1520  4.1491
 -88.00  +56.00 1  2.9404  6.9031  3.9877  3.9752
 -88.00  +56.00 2  2.6724  5.7863  3.4201  3.3894
 -88.00  +56.00 3  2.6124  5.4686  3.2437  3.2254
 -88.00  +56.00 4  2.6213  5.5179  3.2688  3.2568
 -88.00  +58.00 0  3.0377  7.2345  4.1520  4.1491
 -88.00  +58.00 1  2.9407  6.9039  3.9882  3.9756
 -88.00  +58.00 2  2.6729  5.7887  3.4214  3.3906
 -88.00  +58.00 3  2.6126  5.4696  3.2443  3.2260
 -88.00  +58.00 4  2.6214  5.5183  3.2690  3.2570
 -88.00  +60.00 0  3.0377  7.2347  4.1522  4.1492
 -88.00  +60.00 1  2.9409  6.9049  3.9887  3.9761
 -88.00  +60.00 2  2.6734  5.7911  3.4226  3.3918
 -88.00  +60.00 3  2.6128  5.4706  3.2449  3.2265
 -88.00  +60.00 4  2.6214  5.5187  3.2692  3.2572
 -88.00  +62.00 0  3.0379  7.2352  4.1524  4.1495
 -88.00  +62.00 1  2.9413  6.9061  3.9892  3.9767
 -88.00  +62.00 2  2.6739  5.7934  3.4239  3.3931
 -88.00  +62.00 3  2.6129  5.4716  3.2454  3.2271
 -88.00  +62.00 4  2.6215  5.5191  3.2694  3.2574
 -88.00  +64.00 0  3.0381  7.2359  4.1527  4.1498
 -88.00  +64.00 1  2.9416  6.9074  3.9899  3.9773
 -88.00  +64.00 2  2.6743  5.7958  3.4252  3.3944
 -88.00  +64.00 3  2.6131  5.4726  3.2460  3.2276
 -88.00  +64.00 4  2.6216  5.5195  3.2697  3.2577
 -88.00  +66.00 0  3.0383  7.2367  4.1532  4.1503
 -88.00  +66.00 1  2.9420  6.9088  3.9906  3.9781
 -88.00  +66.00 2  2.6748  5.7983  3.4265  3.3957
 -88.00  +66.00 3  2.6133  5.4736  3.2465  3.2282
 -88.00  +66.00 4  2.6217  5.5199  3.2699  3.2579
